0,1,2
LANCO,Friday 08 March 2019,"
      BancorpSouth Arena, Tupelo, MS, US
    "
LANCO,Saturday 02 February 2019,"
      Greensboro Coliseum Complex, Greensboro, NC, US
    "
LANCO,Friday 09 February 2018,"
      EagleBank Arena, George Mason University, Fairfax, VA, US
    "
LANCO,Wednesday 01 March 2017,"
      3rd & Lindsley Bar & Grill, Nashville, TN, US
    "
LANCO,Friday 18 May 2018,"
      Merriweather Post Pavilion, Columbia, MD, US
    "
LANCO,Friday 12 January 2018,"
      Silverstein Eye Centers Arena, Independence, MO, US
    "
LANCO,Friday 07 December 2018,"
      Cannery Ballroom, Nashville, TN, US
    "
LANCO,Thursday 08 February 2018,"
      Petersen Events Center, University of Pittsburgh, Pittsburgh, PA, US
    "
LANCO,Wednesday 14 October 2020,"
      Rogers Place, Edmonton, AB, Canada
    "
LANCO,Sunday 20 May 2018,"
      BB&T Pavilion, Camden, NJ, US
    "
LANCO,Thursday 09 August 2018,"
      Coastal Credit Union Music Park at Walnut Creek, Raleigh, NC, US
    "
LANCO,Thursday 29 November 2018,"
      Irving Plaza, New York (NYC), NY, US
    "
LANCO,Thursday 11 January 2018,"
      Bankers Life Fieldhouse, Indianapolis, IN, US
    "
LANCO,Friday 08 February 2019,"
      Verizon Arena, North Little Rock, AR, US
    "
LANCO,Thursday 28 March 2019,"
      Budweiser Gardens, London, ON, Canada
    "
LANCO,Saturday 02 March 2019,"
      DCU Center, Worcester, MA, US
    "
LANCO,Thursday 22 October 2020,"
      Tribute Communities Centre, Oshawa, ON, Canada
    "
LANCO,Saturday 24 February 2018,"
      US Cellular Center, Cedar Rapids, IA, US
    "
LANCO,Tuesday 20 October 2020,"
      Budweiser Gardens, London, ON, Canada
    "
LANCO,Friday 19 January 2018,"
      Van Andel Arena, Grand Rapids, MI, US
    "
LANCO,Friday 23 October 2020,"
      Canadian Tire Centre, Ottawa, ON, Canada
    "
LANCO,Saturday 13 January 2018,"
      Chaifetz Arena, St Louis, MO, US
    "
LANCO,Saturday 03 August 2019,"
      Freeborn County Fairgrounds, Albert Lea, MN, US
    "
LANCO,Friday 04 November 2016,"
      Irving Plaza, New York (NYC), NY, US
    "
LANCO,Thursday 25 April 2019,"
      Resch Center, Green Bay, WI, US
    "
LANCO,Friday 01 June 2018,"
      DTE Energy Music Theatre, Clarkston, MI, US
    "
LANCO,Friday 26 January 2018,"
      PBR Baltimore, Baltimore, MD, US
    "
LANCO,Thursday 15 November 2018,"
      PBR Louisville, Louisville, KY, US
    "
LANCO,Thursday 23 January 2020,"
      Simmons Bank Arena, North Little Rock, AR, US
    "
LANCO,Thursday 17 November 2016,"
      Variety Playhouse, Atlanta, GA, US
    "
LANCO,Friday 16 February 2018,"
      St. Augustine Amphitheatre, Saint Augustine, FL, US
    "
LANCO,Wednesday 29 August 2018,"
      USANA Amphitheatre, West Valley City, UT, US
    "
LANCO,Saturday 04 November 2017,"
      Coca-Cola Roxy, Atlanta, GA, US
    "
LANCO,Saturday 09 March 2019,"
      Amphitheater at the Wharf, Orange Beach, AL, US
    "
LANCO,Thursday 16 January 2020,"
      BancorpSouth Arena, Tupelo, MS, US
    "
LANCO,Thursday 07 February 2019,"
      INTRUST Bank Arena, Wichita, KS, US
    "
LANCO,Friday 17 January 2020,"
      Mississippi Coast Coliseum & Convention Center, Biloxi, MS, US
    "
LANCO,Friday 12 April 2019,"
      TaxSlayer Center, Moline, IL, US
    "
LANCO,Thursday 05 March 2020,"
      St. Andrew's Hall Detroit, Detroit, MI, US
    "
LANCO,Thursday 25 May 2017,"
      Atlanta Room, Smith's Olde Bar, Atlanta, GA, US
    "
LANCO,Thursday 05 March 2020,"
      St. Andrew's Hall Detroit, Detroit, MI, US
    "
LANCO,Friday 07 September 2018,"
      Jiffy Lube Live, Bristow, VA, US
    "
LANCO,Saturday 12 January 2019,"
      Varsity Theater, Minneapolis, MN, US
    "
LANCO,Saturday 09 February 2019,"
      Raising Cane's River Center Arena, Baton Rouge, LA, US
    "
LANCO,Friday 15 February 2019,"
      Thompson-Boling Arena, University of Tennessee, Knoxville, TN, US
    "
LANCO,Thursday 13 September 2018,"
      Daily's Place, Jacksonville, FL, US
    "
LANCO,Sunday 03 June 2018,"
      Riverbend Music Center, Cincinnati, OH, US
    "
LANCO,Thursday 18 January 2018,"
      BB&T Arena, Highland Heights, KY, US
    "
LANCO,Saturday 29 June 2019,"
      Providence Medical Center Amphitheater, Bonner Springs, KS, US
    "
LANCO,Friday 19 February 2016,"
      Iron City, Birmingham, AL, US
    "
LANCO,Saturday 25 February 2017,"
      Manchester Music Hall, Lexington, KY, US
    "
LANCO,Wednesday 11 January 2017,"
      Georgia Theatre, Athens, GA, US
    "
LANCO,Friday 28 September 2018,"
      Isleta Amphitheater, Albuquerque, NM, US
    "
LANCO,Saturday 07 March 2020,"
      Bogart's, Cincinnati, OH, US
    "
LANCO,Friday 20 January 2017,"
      Bogart's, Cincinnati, OH, US
    "
LANCO,Wednesday 12 April 2017,"
      The National, Richmond, VA, US
    "
LANCO,Saturday 14 January 2017,"
      House of Blues - Orlando, Lake Buena Vista, FL, US
    "
LANCO,Friday 15 June 2018,"
      S&T Bank Music Park, Burgettstown, PA, US
    "
LANCO,Friday 26 April 2019,"
      La Crosse Center, La Crosse, WI, US
    "
LANCO,Friday 29 March 2019,"
      Tribute Communities Centre, Oshawa, ON, Canada
    "
LANCO,Saturday 01 December 2018,"
      The Fillmore, Silver Spring, MD, US
    "
LANCO,Friday 30 November 2018,"
      Theatre of Living Arts (TLA), Philadelphia, PA, US
    "
LANCO,Thursday 06 December 2018,"
      Buckhead Theatre, Atlanta, GA, US
    "
LANCO,Thursday 27 April 2017,"
      Ascend Amphitheater, Nashville, TN, US
    "
LANCO,Wednesday 01 May 2019,"
      O2 Academy Islington, London, UK
    "
LANCO,Friday 24 August 2018,"
      Andrae's Harley Davidson, Urbana, IL, US
    "
LANCO,Saturday 04 August 2018,"
      Darien Lake Amphitheater, Darien Center, NY, US
    "
LANCO,Saturday 21 April 2018,"
      Bicentennial Capitol Mall State Park, Nashville, TN, US
    "
LANCO,Thursday 06 February 2020,"
      Billy Bob's Texas, Fort Worth, TX, US
    "
LANCO,Friday 05 July 2019,"
      4th Street Live, Louisville, KY, US
    "
LANCO,Thursday 06 February 2020,"
      Billy Bob's Texas, Fort Worth, TX, US
    "
LANCO,Saturday 19 May 2018,"
      PNC Bank Arts Center, Holmdel, NJ, US
    "
LANCO,Friday 06 January 2017,"
      House of Blues - Houston, Houston, TX, US
    "
LANCO,Friday 10 January 2020,"
      Ballpark Village, St Louis, MO, US
    "
LANCO,Friday 01 February 2019,"
      Mountain Health Arena, Huntington, WV, US
    "
LANCO,Sunday 05 August 2018,"
      Saratoga Performing Arts Center, Saratoga Springs, NY, US
    "
LANCO,Monday 11 December 2017,"
      Troubadour, Los Angeles (LA), CA, US
    "
LANCO,Saturday 10 February 2018,"
      Mountain Health Arena, Huntington, WV, US
    "
LANCO,Thursday 12 January 2017,"
      The Ritz, Raleigh, NC, US
    "
LANCO,Thursday 12 July 2018,"
      Cook County Saloon, Edmonton, AB, Canada
    "
LANCO,Wednesday 23 May 2018,"
      Club Rodeo, San Jose, CA, US
    "
LANCO,Thursday 05 January 2017,"
      House of Blues - New Orleans presented by Cricket Wireless, New Orleans, LA, US
    "
LANCO,Saturday 10 November 2018,"
      House of Blues - Orlando, Lake Buena Vista, FL, US
    "
LANCO,Thursday 27 February 2020,"
      Save Mart Center, Fresno, CA, US
    "
LANCO,Sunday 18 November 2018,"
      House of Blues - Cleveland, Cleveland, OH, US
    "
LANCO,Wednesday 18 November 2020,"
      Marathon Music Works, Nashville, TN, US
    "
LANCO,Friday 16 October 2020,"
      Brandt Centre, Regina, SK, Canada
    "
LANCO,Saturday 11 February 2017,"
      First Avenue Club, Iowa City, IA, US
    "
LANCO,Friday 26 October 2018,"
      7 Flags Event Center, Clive, IA, US
    "
LANCO,Thursday 10 November 2016,"
      Theatre of Living Arts (TLA), Philadelphia, PA, US
    "
LANCO,Friday 02 February 2018,"
      Cross Insurance Center, Bangor, ME, US
    "
LANCO,Saturday 17 October 2020,"
      Bell MTS Place, Winnipeg, MB, Canada
    "
LANCO,Wednesday 25 October 2017,"
      Wildhorse Saloon, Nashville, TN, US
    "
LANCO,Friday 01 March 2019,"
      Cross Insurance Center, Bangor, ME, US
    "
LANCO,Friday 10 March 2017,"
      Atlanta Coliseum, Duluth, GA, US
    "
LANCO,Saturday 03 November 2018,"
      Anthology, Rochester, NY, US
    "
LANCO,Saturday 30 March 2019,"
      Leon's Centre, Kingston, ON, Canada
    "
LANCO,Sunday 13 January 2019,"
      Varsity Theater, Minneapolis, MN, US
    "
LANCO,Wednesday 11 October 2017,"
      Kanza Hall, Overland Park, KS, US
    "
LANCO,Saturday 22 October 2016,"
      St. Andrew's Hall Detroit, Detroit, MI, US
    "
LANCO,Friday 19 May 2017,"
      Cambridge Room, House of Blues, Dallas, TX, US
    "
LANCO,Thursday 25 January 2018,"
      The Stone Pony, Asbury Park, NJ, US
    "
LANCO,Wednesday 17 January 2018,"
      Gramercy Theatre, New York (NYC), NY, US
    "
LANCO,Sunday 26 March 2017,"
      Slowdown, Omaha, NE, US
    "
LANCO,Saturday 17 November 2018,"
      Bogart's, Cincinnati, OH, US
    "
LANCO,Friday 19 August 2016,"
      Illinois State Fairgrounds, Springfield, IL, US
    "
LANCO,Sunday 20 January 2019,"
      Commodore Ballroom, Vancouver, BC, Canada
    "
LANCO,Saturday 11 January 2020,"
      8 Seconds Saloon, Indianapolis, IN, US
    "
LANCO,Sunday 03 June 2018,"
      House of Blues - Boston presented by Cricket Wireless, Boston, MA, US
    "
LANCO,Saturday 04 May 2019,"
      Manchester Academy 3, Manchester, UK
    "
LANCO,Wednesday 23 January 2019,"
      The Ranch Roadhouse, Edmonton, AB, Canada
    "
LANCO,Wednesday 19 September 2018,"
      Ryman Auditorium, Nashville, TN, US
    "
LANCO,Wednesday 29 March 2017,"
      Rialto Theatre, Tucson, AZ, US
    "
LANCO,Friday 27 December 2019,"
      Choctaw Grand Theater, Durant, OK, US
    "
LANCO,Sunday 13 December 2015,"
      House of Blues - Old Location, Anaheim, CA, US
    "
LANCO,Thursday 16 November 2017,"
      Bridge View Center, Ottumwa, IA, US
    "
LANCO,Thursday 01 November 2018,"
      STAGE AE, Pittsburgh, PA, US
    "
LANCO,Thursday 10 August 2017,"
      KC Live!, Kansas City, MO, US
    "
LANCO,Wednesday 11 November 2015,"
      The Fillmore Philadelphia, Philadelphia, PA, US
    "
LANCO,Saturday 12 November 2016,"
      Mercury Ballroom, Louisville, KY, US
    "
LANCO,Sunday 05 May 2019,"
      Òran Mór, Glasgow, UK
    "
LANCO,Friday 21 April 2017,"
      Starland Ballroom, Sayreville, NJ, US
    "
LANCO,Tuesday 22 January 2019,"
      Palace Theatre, Calgary, AB, Canada
    "
LANCO,Friday 28 October 2016,"
      Deluxe, Old National Centre, Indianapolis, IN, US
    "
LANCO,Saturday 03 February 2018,"
      Grand Theater, Foxwoods Resort Casino, Mashantucket, CT, US
    "
LANCO,Thursday 07 June 2018,"
      Ryman Auditorium, Nashville, TN, US
    "
LANCO,Saturday 19 November 2016,"
      House of Blues - Myrtle Beach presented by Cricket Wireless, North Myrtle Beach, SC, US
    "
LANCO,Thursday 20 October 2016,"
      The Cabooze, Minneapolis, MN, US
    "
LANCO,Monday 06 May 2019,"
      The Fleece, Bristol, UK
    "
LANCO,Thursday 26 July 2018,"
      Kansas City Power & Light District, Kansas City, MO, US
    "
Russell+Dickerson,Friday 18 October 2019,"
      City Winery, Boston, MA, US
    "
Russell+Dickerson,Saturday 09 November 2019,"
      Race Track, Del Mar, CA, US
    "
Russell+Dickerson,Tuesday 05 November 2019,"
      Grand Ole Opry at Ryman Auditorium, Nashville, TN, US
    "
Russell+Dickerson,Saturday 22 February 2020,"
      UW-Milwaukee Panther Arena, Milwaukee, WI, US
    "
Russell+Dickerson,Thursday 29 August 2019,"
      Ellensburg Rodeo Arena, Ellensburg, WA, US
    "
Russell+Dickerson,Friday 25 October 2019,"
      Ilani Casino Resort, Ridgefield, WA, US
    "
Russell+Dickerson,Saturday 31 August 2019,"
      Washington State Fair Events Center, Puyallup, WA, US
    "
Russell+Dickerson,Sunday 28 October 2018,"
      Royal Albert Hall, London, UK
    "
Russell+Dickerson,Friday 27 September 2019,"
      D'youville College Dobson Field, Buffalo, NY, US
    "
Russell+Dickerson,Friday 05 October 2018,"
      PNC Music Pavilion, Charlotte, NC, US
    "
Russell+Dickerson,Wednesday 25 July 2018,"
      Union County Fairgrounds, Marysville, OH, US
    "
Russell+Dickerson,Thursday 27 September 2018,"
      Ameris Bank Amphitheatre, Alpharetta, GA, US
    "
Russell+Dickerson,Saturday 06 October 2018,"
      Jiffy Lube Live, Bristow, VA, US
    "
Russell+Dickerson,Friday 22 November 2019,"
      8 Seconds Saloon, Indianapolis, IN, US
    "
Russell+Dickerson,Saturday 15 September 2018,"
      Hollywood Casino Amphitheatre, Tinley Park, IL, US
    "
Russell+Dickerson,Thursday 30 January 2020,"
      South Florida Fair - Main Stage, West Palm Beach, FL, US
    "
Russell+Dickerson,Friday 11 May 2018,"
      Grizzly Rose, Denver, CO, US
    "
Russell+Dickerson,Friday 31 May 2019,"
      Weidner Field, Colorado Springs, CO, US
    "
Russell+Dickerson,Saturday 19 May 2018,"
      Mo's Place, Katy, TX, US
    "
Russell+Dickerson,Friday 28 September 2018,"
      MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds, Tampa, FL, US
    "
Russell+Dickerson,Sunday 02 June 2019,"
      Unknown venue, Winchester, CA, US
    "
Russell+Dickerson,Friday 07 September 2018,"
      DTE Energy Music Theatre, Clarkston, MI, US
    "
Russell+Dickerson,Wednesday 11 September 2019,"
      Grand Ole Opry House, Nashville, TN, US
    "
Russell+Dickerson,Saturday 21 November 2020,"
      Grand Ole Opry House, Nashville, TN, US
    "
Russell+Dickerson,Sunday 01 March 2020,"
      PPL Center, Allentown, PA, US
    "
Russell+Dickerson,Thursday 01 June 2017,"
      Tabernacle, Atlanta, GA, US
    "
Russell+Dickerson,Saturday 14 September 2019,"
      United Center, Chicago, IL, US
    "
Russell+Dickerson,Friday 21 September 2018,"
      BB&T Pavilion, Camden, NJ, US
    "
Russell+Dickerson,Thursday 07 February 2019,"
      Club Rodeo, San Jose, CA, US
    "
Russell+Dickerson,Thursday 16 August 2018,"
      Shoreline Amphitheatre, Mountain View, CA, US
    "
Russell+Dickerson,Friday 27 April 2018,"
      Intersection, Grand Rapids, MI, US
    "
Russell+Dickerson,Wednesday 18 April 2018,"
      Brick Street Bar, Oxford, OH, US
    "
Russell+Dickerson,Thursday 06 June 2019,"
      Fargodome, Fargo, ND, US
    "
Russell+Dickerson,Friday 26 October 2018,"
      Albert Hall, Manchester, UK
    "
Russell+Dickerson,Sunday 02 December 2018,"
      Rams Head Live, Baltimore, MD, US
    "
Russell+Dickerson,Saturday 29 September 2018,"
      iTHINK Financial Amphitheatre, West Palm Beach, FL, US
    "
Russell+Dickerson,Sunday 30 June 2019,"
      Tatanka Ranch, Stroud, OK, US
    "
Russell+Dickerson,Friday 28 June 2019,"
      Dos Equis Pavilion, Dallas, TX, US
    "
Russell+Dickerson,Thursday 06 September 2018,"
      Riverbend Music Center, Cincinnati, OH, US
    "
Russell+Dickerson,Friday 20 September 2019,"
      Madison Square Garden, New York (NYC), NY, US
    "
Russell+Dickerson,Saturday 07 July 2018,"
      Innsbrook After Hours, Glen Allen, VA, US
    "
Russell+Dickerson,Saturday 12 October 2019,"
      Bridgestone Arena, Nashville, TN, US
    "
Russell+Dickerson,Thursday 02 August 2018,"
      Merriweather Post Pavilion, Columbia, MD, US
    "
Russell+Dickerson,Friday 14 September 2018,"
      Unknown venue, Indianapolis, IN, US
    "
Russell+Dickerson,Saturday 29 February 2020,"
      Jim Whelan Boardwalk Hall, Atlantic City, NJ, US
    "
Russell+Dickerson,Saturday 17 August 2019,"
      Oak Mountain Amphitheatre, Pelham, AL, US
    "
Russell+Dickerson,Saturday 07 March 2020,"
      KeyBank Center, Buffalo, NY, US
    "
Russell+Dickerson,Friday 24 August 2018,"
      FivePoint Amphitheatre, Irvine, CA, US
    "
Russell+Dickerson,Friday 13 September 2019,"
      Enterprise Center, St Louis, MO, US
    "
Russell+Dickerson,Saturday 10 August 2019,"
      Cellairis Amphitheatre at Lakewood, Atlanta, GA, US
    "
Russell+Dickerson,Saturday 10 August 2019,"
      Cellairis Amphitheatre at Lakewood, Atlanta, GA, US
    "
Russell+Dickerson,Sunday 08 December 2019,"
      Billy Bob's Texas, Fort Worth, TX, US
    "
Russell+Dickerson,Thursday 13 September 2018,"
      Hollywood Casino Amphitheatre, Maryland Heights, MO, US
    "
Russell+Dickerson,Friday 21 June 2019,"
      Ruoff Music Center, Noblesville, IN, US
    "
Russell+Dickerson,Saturday 30 September 2017,"
      Pepsi Center, Denver, CO, US
    "
Russell+Dickerson,Saturday 05 October 2019,"
      Amway Center, Orlando, FL, US
    "
Russell+Dickerson,Thursday 19 July 2018,"
      Budweiser Stage, Toronto, ON, Canada
    "
Russell+Dickerson,Thursday 22 March 2018,"
      The Fillmore, Detroit, MI, US
    "
Russell+Dickerson,Tuesday 24 October 2017,"
      Tin Roof - Birmingham, Birmingham, AL, US
    "
Russell+Dickerson,Thursday 23 August 2018,"
      Ak-Chin Pavilion, Phoenix, AZ, US
    "
Russell+Dickerson,Thursday 11 July 2019,"
      Budweiser Stage, Toronto, ON, Canada
    "
Russell+Dickerson,Saturday 07 September 2019,"
      Xcel Energy Center, St. Paul, MN, US
    "
Russell+Dickerson,Saturday 04 August 2018,"
      Northwell Health at Jones Beach Theater, Wantagh, NY, US
    "
Russell+Dickerson,Tuesday 27 August 2019,"
      Go Pool, Flamingo Las Vegas, Las Vegas, NV, US
    "
Russell+Dickerson,Wednesday 07 August 2019,"
      McGlohon Theatre at Spirit Square, Charlotte, NC, US
    "
Russell+Dickerson,Tuesday 30 October 2018,"
      Paradiso Grote Zaal, Amsterdam, Netherlands
    "
Russell+Dickerson,Friday 11 October 2019,"
      KFC Yum! Center, Louisville, KY, US
    "
Russell+Dickerson,Friday 17 August 2018,"
      Toyota Amphitheatre, Wheatland, CA, US
    "
Russell+Dickerson,Thursday 07 September 2017,"
      Honda Center, Anaheim, CA, US
    "
Russell+Dickerson,Saturday 12 May 2018,"
      Warehouse 25sixty-five Kitchen + Bar, Grand Junction, CO, US
    "
Russell+Dickerson,Saturday 22 September 2018,"
      Xfinity Center, Mansfield, MA, US
    "
Russell+Dickerson,Thursday 04 October 2018,"
      Coastal Credit Union Music Park at Walnut Creek, Raleigh, NC, US
    "
Russell+Dickerson,Thursday 03 October 2019,"
      Bon Secours Wellness Arena, Greenville, SC, US
    "
Russell+Dickerson,Friday 04 October 2019,"
      Vystar Veterans Memorial Arena, Jacksonville, FL, US
    "
Russell+Dickerson,Thursday 01 August 2019,"
      BB&T Pavilion, Camden, NJ, US
    "
Russell+Dickerson,Saturday 07 April 2018,"
      White Buffalo Saloon, Sarasota, FL, US
    "
Russell+Dickerson,Saturday 25 August 2018,"
      North Island Credit Union Amphitheatre, Chula Vista, CA, US
    "
Russell+Dickerson,Monday 22 October 2018,"
      Glasgow Royal Concert Hall, Glasgow, UK
    "
Russell+Dickerson,Thursday 18 July 2019,"
      Merriweather Post Pavilion, Columbia, MD, US
    "
Russell+Dickerson,Thursday 12 September 2019,"
      T-Mobile Center, Kansas City, MO, US
    "
Russell+Dickerson,Monday 10 July 2017,"
      Mercury Lounge, New York (NYC), NY, US
    "
Russell+Dickerson,Saturday 13 July 2019,"
      Moultrie County Fairgrounds, Arthur, IL, US
    "
Russell+Dickerson,Friday 07 February 2020,"
      Island Resort & Casino, Harris, MI, US
    "
Russell+Dickerson,Sunday 30 September 2018,"
      Daily's Place, Jacksonville, FL, US
    "
Russell+Dickerson,Friday 09 August 2019,"
      Riverbend Music Center, Cincinnati, OH, US
    "
Russell+Dickerson,Saturday 29 June 2019,"
      The Cynthia Woods Mitchell Pavilion presented by Huntsman, The Woodlands, TX, US
    "
Russell+Dickerson,Friday 21 April 2017,"
      Ascend Amphitheater, Nashville, TN, US
    "
Russell+Dickerson,Saturday 08 September 2018,"
      S&T Bank Music Park, Burgettstown, PA, US
    "
Russell+Dickerson,Wednesday 26 July 2017,"
      Steel Creek American Whiskey Co, Tacoma, WA, US
    "
Russell+Dickerson,Friday 14 June 2019,"
      PNC Music Pavilion, Charlotte, NC, US
    "
Russell+Dickerson,Friday 29 September 2017,"
      USANA Amphitheatre, West Valley City, UT, US
    "
Russell+Dickerson,Thursday 20 September 2018,"
      Veterans United Home Loans Amphitheater, Virginia Beach, VA, US
    "
Russell+Dickerson,Saturday 20 July 2019,"
      Hersheypark Stadium, Hershey, PA, US
    "
Russell+Dickerson,Saturday 16 September 2017,"
      Shoreline Amphitheatre, Mountain View, CA, US
    "
Russell+Dickerson,Saturday 27 July 2019,"
      Unknown venue, Owensville, MO, US
    "
Russell+Dickerson,Friday 06 March 2020,"
      Times Union Center, Albany, NY, US
    "
Russell+Dickerson,Saturday 15 June 2019,"
      Jiffy Lube Live, Bristow, VA, US
    "
Russell+Dickerson,Sunday 19 August 2018,"
      White River Amphitheatre, Auburn, WA, US
    "
Russell+Dickerson,Thursday 25 October 2018,"
      O2 Academy Bristol, Bristol, UK
    "
Russell+Dickerson,Friday 06 September 2019,"
      Wells Fargo Arena, Des Moines, IA, US
    "
Russell+Dickerson,Friday 31 August 2018,"
      Treasure Island Resort & Casino, Welch, MN, US
    "
